time_ms,gid,population
958.8500000013969,341,unknown
958.8500000013969,349,unknown
958.9250000013972,231,unknown
959.2500000013983,319,unknown
959.2750000013984,233,unknown
959.3500000013987,353,unknown
959.5250000013993,323,unknown
959.7750000014003,250,unknown
960.0000000014011,343,unknown
960.1500000014016,277,unknown
960.3000000014022,313,unknown
960.3500000014023,261,unknown
960.3500000014023,298,unknown
960.5500000014031,306,unknown
960.6500000014034,251,unknown
960.6750000014035,271,unknown
960.9000000014044,364,unknown
961.0250000014048,203,unknown
961.0500000014049,262,unknown
961.0500000014049,294,unknown
961.2750000014057,254,unknown
961.3250000014059,256,unknown
961.4000000014062,223,unknown
961.5750000014068,204,unknown
961.625000001407,336,unknown
961.7750000014075,333,unknown
962.45000000141,210,unknown
962.45000000141,303,unknown
962.7750000014112,206,unknown
962.8750000014115,314,unknown
962.9972797871362,65,unknown
962.9972797871362,145,unknown
963.2250000014128,326,unknown
963.3500000014133,259,unknown
963.3500000014133,296,unknown
963.3500000014133,334,unknown
963.4500000014136,248,unknown
963.4606829275501,13,unknown
963.7000000014145,285,unknown
963.7250000014146,247,unknown
963.7750000014148,376,unknown
963.8500000014151,311,unknown
963.8750000014152,307,unknown
963.9000000014153,360,unknown
963.9500000014154,288,unknown
963.9750000014155,236,unknown
964.0000000014156,345,unknown
964.0250000014157,243,unknown
964.2000000014164,232,unknown
964.2250000014164,357,unknown
964.2750000014166,356,unknown
964.4750000014174,284,unknown
964.5750000014177,230,unknown
965.0250000014194,217,unknown
965.0500000014194,342,unknown
965.1750000014199,290,unknown
965.20000000142,289,unknown
965.20000000142,368,unknown
965.2250000014201,399,unknown
965.5000000014211,346,unknown
965.5250000014212,304,unknown
965.5500000014213,318,unknown
965.6250000014215,301,unknown
965.6250000014215,309,unknown
965.6750000014217,350,unknown
965.7463824415925,36,unknown
965.7750000014221,340,unknown
965.8500000014224,292,unknown
965.9750000014228,367,unknown
966.0000000014229,331,unknown
966.0750000014232,373,unknown
966.12009382322,1,unknown
966.1250000014234,277,unknown
966.1750000014235,271,unknown
966.6250000014252,261,unknown
966.7500000014256,251,unknown
966.9000000014262,332,unknown
966.9750000014265,268,unknown
967.3000000014276,211,unknown
967.6250000014288,371,unknown
968.2000000014309,206,unknown
968.4250000014317,381,unknown
968.7000000014327,280,unknown
968.775000001433,233,unknown
968.8750000014334,358,unknown
968.8750000014334,380,unknown
968.9180276647571,1,unknown
969.0250000014339,223,unknown
969.0250000014339,312,unknown
969.1500000014344,250,unknown
969.3000000014349,244,unknown
969.5000000014356,369,unknown
969.5500000014358,383,unknown
969.6750000014363,246,unknown
969.875000001437,353,unknown
969.9500000014373,291,unknown
970.0500000014376,254,unknown
970.1250000014379,320,unknown
970.2760737766116,36,unknown
970.425000001439,370,unknown
970.5000000014393,354,unknown
970.679795916328,4,unknown
970.7250000014401,293,unknown
970.975000001441,262,unknown
971.0250000014412,295,unknown
971.1750000014417,365,unknown
971.5750000014432,204,unknown
971.5878492073766,0,unknown
971.8500000014442,217,unknown
971.9306039612511,7,unknown
971.9500000014446,241,unknown
971.9500000014446,271,unknown
972.1000000014451,364,unknown
972.1250000014452,239,unknown
972.1250000014452,245,unknown
972.1750000014454,321,unknown
972.1906022745964,4,unknown
972.2250000014456,277,unknown
972.5250000014466,378,unknown
972.8250000014477,237,unknown
973.0500000014486,232,unknown
973.1000000014487,339,unknown
973.1250000014488,337,unknown
973.1500000014489,315,unknown
973.8750000014516,206,unknown
973.9250000014517,231,unknown
974.0282334041539,15,unknown
974.1500000014526,328,unknown
974.2250000014528,329,unknown
974.275000001453,214,unknown
974.275000001453,281,unknown
974.3000000014531,215,unknown
974.9000000014553,317,unknown
975.0500000014558,234,unknown
975.100000001456,210,unknown
975.100000001456,324,unknown
975.2750000014566,297,unknown
975.3250000014568,238,unknown
975.4250000014572,235,unknown
975.5250000014576,211,unknown
975.5500000014576,338,unknown
975.5917189563252,5,unknown
975.650000001458,344,unknown
975.6750000014581,308,unknown
975.7750000014585,305,unknown
975.8750000014588,316,unknown
975.8750000014588,327,unknown
975.9007257841154,16,unknown
976.2015966063598,31,unknown
976.3250000014605,351,unknown
976.475000001461,259,unknown
976.6147920122506,8,unknown
976.750000001462,360,unknown
976.9000000014626,242,unknown
976.9500000014627,261,unknown
977.0500000014631,379,unknown
977.1000000014633,347,unknown
977.2935733031835,19,unknown
977.7000000014655,352,unknown
977.7250000014656,254,unknown
977.9250000014663,205,unknown
977.9750000014665,323,unknown
978.1000000014669,374,unknown
978.2250000014674,277,unknown
978.2750000014676,357,unknown
978.4250000014681,240,unknown
978.6250000014688,371,unknown
978.6500000014689,300,unknown
978.675000001469,250,unknown
979.0250000014703,322,unknown
979.0500000014704,233,unknown
979.0750000014705,373,unknown
979.1750000014708,271,unknown
979.2000000014709,230,unknown
979.2000000014709,306,unknown
979.4500000014718,350,unknown
979.500000001472,376,unknown
979.6692157584786,8,unknown
979.775000001473,217,unknown
979.8064143875522,16,unknown
980.0250000014739,330,unknown
980.1000000014742,206,unknown
980.3000000014749,251,unknown
980.5750000014759,353,unknown
980.7750000014767,262,unknown
980.8250000014768,325,unknown
981.0250000014776,343,unknown
981.1915648401321,89,unknown
981.1915648401321,169,unknown
981.3000000014786,335,unknown
981.3250000014787,255,unknown
981.5500000014795,223,unknown
982.0750000014814,383,unknown
982.4000000014826,232,unknown
982.4350436868433,16,unknown
982.4500000014827,204,unknown
982.5000000014829,248,unknown
982.525000001483,319,unknown
983.0250000014848,364,unknown
983.1000000014851,349,unknown
983.4000000014862,359,unknown
983.4250000014863,243,unknown
983.4750000014865,341,unknown
983.6500000014871,381,unknown
983.900000001488,236,unknown
984.175000001489,326,unknown
984.2000000014891,231,unknown
984.2750000014894,277,unknown
984.3500000014897,214,unknown
984.4000000014898,296,unknown
984.4250000014899,247,unknown
984.4750000014901,271,unknown
984.5500000014904,358,unknown
984.5750000014905,302,unknown
985.0400532975927,1,unknown
985.1250000014925,261,unknown
985.550000001494,206,unknown
985.7750000014948,217,unknown
986.0000000014957,211,unknown
986.3500000014969,268,unknown
986.5000000014975,346,unknown
986.5250000014976,311,unknown
986.5394291274778,8,unknown
986.6250000014979,365,unknown
986.7000000014982,251,unknown
986.7250000014983,361,unknown
987.2000000015,254,unknown
987.8489900085672,155,unknown
987.8489900085672,75,unknown
988.0000000015029,354,unknown
988.1750000015036,298,unknown
988.2000000015037,233,unknown
988.9000000015062,334,unknown
988.9750000015065,378,unknown
989.2500000015075,407,unknown
989.3500000015079,360,unknown
989.5750000015087,371,unknown
989.6000000015088,223,unknown
989.6308008628409,10,unknown
989.675000001509,370,unknown
990.069689026179,68,unknown
990.069689026179,148,unknown
990.1250000015107,271,unknown
990.1750000015109,277,unknown
990.475000001512,262,unknown
990.475000001512,310,unknown
990.7000000015128,244,unknown
990.9250000015136,206,unknown
991.2750000015149,246,unknown
991.325000001515,399,unknown
991.3750000015152,373,unknown
991.5250000015158,353,unknown
991.6500000015162,355,unknown
991.6750000015163,356,unknown
992.1000000015179,261,unknown
992.2250000015183,286,unknown
992.3500000015188,232,unknown
992.3500000015188,239,unknown
992.5250000015194,217,unknown
992.5250000015194,290,unknown
992.6500000015199,307,unknown
992.67500000152,250,unknown
992.8750000015207,251,unknown
992.9250000015209,350,unknown
993.1250000015216,241,unknown
993.3000000015222,245,unknown
993.3000000015222,318,unknown
993.3500000015224,289,unknown
993.4500000015228,237,unknown
993.4500000015228,304,unknown
993.4750000015229,231,unknown
993.7356602503567,13,unknown
993.8250000015241,291,unknown
993.9000000015244,320,unknown
993.9250000015245,295,unknown
993.9250000015245,314,unknown
993.9750000015247,345,unknown
993.9860247668908,12,unknown
994.0250000015249,301,unknown
994.050000001525,333,unknown
994.075000001525,337,unknown
994.2250000015256,293,unknown
994.2750000015258,332,unknown
994.3000000015259,303,unknown
994.3000000015259,336,unknown
994.3178611344208,142,unknown
994.3178611344208,62,unknown
994.4000000015262,357,unknown
994.4250000015263,214,unknown
994.4500000015264,380,unknown
994.5250000015267,364,unknown
994.5500000015268,383,unknown
994.6500000015271,254,unknown
994.7750000015276,329,unknown
994.8250000015278,234,unknown
994.875000001528,317,unknown
994.9500000015282,338,unknown
995.0750000015287,344,unknown
995.2750000015294,271,unknown
995.2750000015294,376,unknown
995.4000000015299,230,unknown
995.4000000015299,340,unknown
995.42500000153,342,unknown
995.45000000153,277,unknown
995.4750000015301,400,unknown
995.5250000015303,210,unknown
995.8000000015313,212,unknown
995.8250000015314,300,unknown
995.9250000015318,322,unknown
996.0868839164441,31,unknown
996.1750000015327,238,unknown
996.2245360276547,0,unknown
