g_pas,gnabar,gkbar,amp_nA,spikecount,AP_amplitude_mV,AP_width_ms,voltage_base_mV,mean_frequency_Hz,vmax_mV,vend_mV,good_candidate
3e-06,0.2,0.01,0.15,87.0,56.05181548054895,2.464367816091578,-42.46353474401086,74.17802726541348,37.22980197251336,-57.18316708250531,False
3e-06,0.2,0.01,0.2,54.0,35.73050536077108,2.499999999999192,-42.46353474401017,94.19152276286319,37.22980197251336,-56.53837455603862,False
3e-06,0.2,0.02,0.02,0.0,,,-68.44374613661702,,-63.18719741927356,-68.43993481538031,False
3e-06,0.2,0.02,0.05,10.0,80.32459767754102,2.2500000000005116,-68.44374613661657,20.73828287017169,31.355923942440068,-68.4262067748121,True
3e-06,0.2,0.02,0.1,17.0,81.6509165601254,2.276470588235812,-68.44374613661581,34.225890879795834,35.03339835190659,-68.41709073726406,True
3e-06,0.2,0.02,0.15,21.0,80.58527281348574,2.2285714285719354,-68.44374613661506,42.16867469878177,36.65265479454519,-68.41146064190204,True
3e-06,0.2,0.02,0.2,24.0,79.49239400292642,2.200000000000498,-68.44374613661431,48.08655580042551,37.62698941991807,-68.40722488818272,True
3e-06,0.2,0.04,0.02,0.0,,,-71.68618966766886,,-65.0,-71.69487564871895,False
3e-06,0.2,0.04,0.05,0.0,,,-71.6861896676684,,-65.0,-71.69147219137105,False
3e-06,0.2,0.04,0.1,0.0,,,-71.68618966766765,,-64.53433928020428,-71.68840340780153,False
