grid,BA_density,KDR_scale,soma_BNa,valid,reject_reason,RMP_mV,Rin_GOhm,rheobase_pA,overshoot_mV,half_width_ms,amplitude_mV,n_ap_targets_failed,total_ap_error,overshoot_err,half_width_err,amplitude_err
approachB_reduced_axon,0.02,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.60583503961453,0.7578745279775532,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.02,2.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.58202526665163,0.7596913982577916,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.02,2.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.55799388015592,0.7615271208752873,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,1.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.75040916976796,0.7441348662679743,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,1.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.72841441461837,0.7457808776567134,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,1.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.70623059703378,0.747442819111835,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.75440499423885,0.7437626088231226,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,1.5,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.73244851093257,0.7454051286128234,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,1.5,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.71030353549541,0.7470635305731562,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.75839259615259,0.7433911224566785,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,2.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.7364742594977,0.7450301614683056,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.04,2.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.7143679984218,0.7466850349392843,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,1.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-73.01503566333186,0.7190792896468594,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,1.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.99596944508667,0.7204497776883642,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,1.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.97680638687005,0.7218275292323753,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-73.01846469745036,0.7187611745632253,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,1.5,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.99941885862789,0.7201298663077609,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,1.5,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.98027826807322,0.7215056074270165,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-73.0218887944368,0.7184435191488859,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,2.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-73.00286339739995,0.7198104085701843,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.08,2.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.98374444920364,0.7211842236678379,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
