condition,temperature_C,current_pA,time_ms,voltage_mV
reference_rheobase_20pA,23.0,20.0,25.59999999999908,-59.040378198416235
reference_rheobase_20pA,23.0,20.0,25.699999999999076,-59.03977162809432
reference_rheobase_20pA,23.0,20.0,25.79999999999907,-59.0391756065127
reference_rheobase_20pA,23.0,20.0,25.899999999999064,-59.038590016439585
reference_rheobase_20pA,23.0,20.0,25.99999999999906,-59.038014741523305
reference_rheobase_20pA,23.0,20.0,26.099999999999053,-59.0374496662906
reference_rheobase_20pA,23.0,20.0,26.199999999999047,-59.03689467614476
reference_rheobase_20pA,23.0,20.0,26.29999999999904,-59.03634965736382
reference_rheobase_20pA,23.0,20.0,26.399999999999036,-59.035814497098585
reference_rheobase_20pA,23.0,20.0,26.49999999999903,-59.03528908337059
reference_rheobase_20pA,23.0,20.0,26.599999999999024,-59.034773305070075
reference_rheobase_20pA,23.0,20.0,26.69999999999902,-59.03426705195376
reference_rheobase_20pA,23.0,20.0,26.799999999999013,-59.03377021464271
reference_rheobase_20pA,23.0,20.0,26.899999999999007,-59.033282684619955
reference_rheobase_20pA,23.0,20.0,26.999999999999,-59.03280435422823
reference_rheobase_20pA,23.0,20.0,27.099999999998996,-59.03233511666751
reference_rheobase_20pA,23.0,20.0,27.19999999999899,-59.03187486599257
reference_rheobase_20pA,23.0,20.0,27.299999999998985,-59.03142349711042
reference_rheobase_20pA,23.0,20.0,27.39999999999898,-59.030980905777724
reference_rheobase_20pA,23.0,20.0,27.499999999998973,-59.03054698859818
reference_rheobase_20pA,23.0,20.0,27.599999999998968,-59.03012164301978
reference_rheobase_20pA,23.0,20.0,27.699999999998962,-59.02970476733206
reference_rheobase_20pA,23.0,20.0,27.799999999998956,-59.02929626066329
reference_rheobase_20pA,23.0,20.0,27.89999999999895,-59.02889602297758
reference_rheobase_20pA,23.0,20.0,27.999999999998945,-59.028503955072
reference_rheobase_20pA,23.0,20.0,28.09999999999894,-59.02811995857359
reference_rheobase_20pA,23.0,20.0,28.199999999998933,-59.027743935936336
reference_rheobase_20pA,23.0,20.0,28.299999999998928,-59.0273757904381
reference_rheobase_20pA,23.0,20.0,28.399999999998922,-59.0270154261775
reference_rheobase_20pA,23.0,20.0,28.499999999998916,-59.026662748070784
reference_rheobase_20pA,23.0,20.0,28.59999999999891,-59.02631766184857
reference_rheobase_20pA,23.0,20.0,28.699999999998905,-59.025980074052654
reference_rheobase_20pA,23.0,20.0,28.7999999999989,-59.025649892032654
reference_rheobase_20pA,23.0,20.0,28.899999999998894,-59.025327023942715
reference_rheobase_20pA,23.0,20.0,28.999999999998888,-59.02501137873814
reference_rheobase_20pA,23.0,20.0,29.099999999998882,-59.024702866171964
reference_rheobase_20pA,23.0,20.0,29.199999999998877,-59.024401396791475
reference_rheobase_20pA,23.0,20.0,29.29999999999887,-59.02410688193476
reference_rheobase_20pA,23.0,20.0,29.399999999998865,-59.02381923372718
reference_rheobase_20pA,23.0,20.0,29.49999999999886,-59.023538365077776
reference_rheobase_20pA,23.0,20.0,29.599999999998854,-59.023264189675714
reference_rheobase_20pA,23.0,20.0,29.699999999998848,-59.02299662198661
reference_rheobase_20pA,23.0,20.0,29.799999999998843,-59.0227355772489
reference_rheobase_20pA,23.0,20.0,29.899999999998837,-59.02248097147015
reference_rheobase_20pA,23.0,20.0,29.99999999999883,-59.022232721423336
reference_rheobase_20pA,23.0,20.0,30.099999999998825,-59.02199074464305
reference_rheobase_20pA,23.0,20.0,30.19999999999882,-59.02175495942177
reference_rheobase_20pA,23.0,20.0,30.299999999998814,-59.021525284806025
reference_rheobase_20pA,23.0,20.0,30.39999999999881,-59.02130164059258
reference_rheobase_20pA,23.0,20.0,30.499999999998803,-59.02108394732456
reference_rheobase_20pA,23.0,20.0,30.599999999998797,-59.02087212628758
reference_rheobase_20pA,23.0,20.0,30.69999999999879,-59.02066609950581
reference_rheobase_20pA,23.0,20.0,30.799999999998786,-59.02046578973808
reference_rheobase_20pA,23.0,20.0,30.89999999999878,-59.02027112047392
reference_rheobase_20pA,23.0,20.0,30.999999999998774,-59.02008201592956
reference_rheobase_20pA,23.0,20.0,31.09999999999877,-59.019898401043974
reference_rheobase_20pA,23.0,20.0,31.199999999998763,-59.01972020147484
reference_rheobase_20pA,23.0,20.0,31.299999999998757,-59.019547343594525
reference_rheobase_20pA,23.0,20.0,31.39999999999875,-59.019379754486025
reference_rheobase_20pA,23.0,20.0,31.499999999998746,-59.019217361938914
reference_rheobase_20pA,23.0,20.0,31.59999999999874,-59.019060094445244
reference_rheobase_20pA,23.0,20.0,31.699999999998735,-59.018907881195474
reference_rheobase_20pA,23.0,20.0,31.79999999999873,-59.01876065207433
reference_rheobase_20pA,23.0,20.0,31.899999999998723,-59.0186183376567
reference_rheobase_20pA,23.0,20.0,31.999999999998717,-59.018480869203486
reference_rheobase_20pA,23.0,20.0,32.09999999999874,-59.01834817865748
reference_rheobase_20pA,23.0,20.0,32.19999999999876,-59.01822019863918
reference_rheobase_20pA,23.0,20.0,32.29999999999878,-59.01809686244259
reference_rheobase_20pA,23.0,20.0,32.399999999998805,-59.017978104031116
reference_rheobase_20pA,23.0,20.0,32.49999999999883,-59.017863858033316
reference_rheobase_20pA,23.0,20.0,32.59999999999885,-59.01775405973871
reference_rheobase_20pA,23.0,20.0,32.69999999999887,-59.01764864509359
reference_rheobase_20pA,23.0,20.0,32.799999999998896,-59.01754755069679
reference_rheobase_20pA,23.0,20.0,32.89999999999892,-59.0174507137955
reference_rheobase_20pA,23.0,20.0,32.99999999999894,-59.01735807228098
reference_rheobase_20pA,23.0,20.0,33.099999999998964,-59.01726956468439
reference_rheobase_20pA,23.0,20.0,33.19999999999899,-59.01718513017253
reference_rheobase_20pA,23.0,20.0,33.29999999999901,-59.01710470854358
reference_rheobase_20pA,23.0,20.0,33.39999999999903,-59.017028240222906
reference_rheobase_20pA,23.0,20.0,33.499999999999055,-59.01695566625878
reference_rheobase_20pA,23.0,20.0,33.59999999999908,-59.01688692831815
reference_rheobase_20pA,23.0,20.0,33.6999999999991,-59.016821968682365
reference_rheobase_20pA,23.0,20.0,33.79999999999912,-59.01676073024297
reference_rheobase_20pA,23.0,20.0,33.899999999999146,-59.016703156497435
reference_rheobase_20pA,23.0,20.0,33.99999999999917,-59.0166491915449
reference_rheobase_20pA,23.0,20.0,34.09999999999919,-59.016598780081935
reference_rheobase_20pA,23.0,20.0,34.199999999999214,-59.01655186739831
reference_rheobase_20pA,23.0,20.0,34.29999999999924,-59.016508399372725
reference_rheobase_20pA,23.0,20.0,34.39999999999926,-59.01646832246857
reference_rheobase_20pA,23.0,20.0,34.49999999999928,-59.01643158372973
reference_rheobase_20pA,23.0,20.0,34.599999999999305,-59.01639813077629
reference_rheobase_20pA,23.0,20.0,34.69999999999933,-59.01636791180034
reference_rheobase_20pA,23.0,20.0,34.79999999999935,-59.01634087556176
reference_rheobase_20pA,23.0,20.0,34.89999999999937,-59.01631697138397
reference_rheobase_20pA,23.0,20.0,34.999999999999396,-59.01629614914974
reference_rheobase_20pA,23.0,20.0,35.09999999999942,-59.01627835929694
reference_rheobase_20pA,23.0,20.0,35.19999999999944,-59.0162635528144
reference_rheobase_20pA,23.0,20.0,35.299999999999464,-59.01625168123767
reference_rheobase_20pA,23.0,20.0,35.39999999999949,-59.016242696644845
reference_rheobase_20pA,23.0,20.0,35.49999999999951,-59.01623655165238
reference_rheobase_20pA,23.0,20.0,35.59999999999953,-59.01623319941092
reference_rheobase_20pA,23.0,20.0,35.699999999999555,-59.016232593601146
reference_rheobase_20pA,23.0,20.0,35.79999999999958,-59.01623468842959
reference_rheobase_20pA,23.0,20.0,35.8999999999996,-59.01623943862455
reference_rheobase_20pA,23.0,20.0,35.99999999999962,-59.01624679943189
reference_rheobase_20pA,23.0,20.0,36.099999999999646,-59.01625672661094
reference_rheobase_20pA,23.0,20.0,36.19999999999967,-59.01626917643039
reference_rheobase_20pA,23.0,20.0,36.29999999999969,-59.01628410566418
reference_rheobase_20pA,23.0,20.0,36.399999999999714,-59.016301471587404
reference_rheobase_20pA,23.0,20.0,36.49999999999974,-59.016321231972235
reference_rheobase_20pA,23.0,20.0,36.59999999999976,-59.01634334508385
reference_rheobase_20pA,23.0,20.0,36.69999999999978,-59.01636776967637
reference_rheobase_20pA,23.0,20.0,36.799999999999805,-59.01639446498884
reference_rheobase_20pA,23.0,20.0,36.89999999999983,-59.01642339074117
reference_rheobase_20pA,23.0,20.0,36.99999999999985,-59.01645450713012
reference_rheobase_20pA,23.0,20.0,37.09999999999987,-59.016487774825315
reference_rheobase_20pA,23.0,20.0,37.199999999999896,-59.01652315496523
reference_rheobase_20pA,23.0,20.0,37.29999999999992,-59.01656060915324
