current_na,time_ms,soma_mv,proximal_axon_mv,proximal_dendrite_mv
-0.02,27.89999999999895,-60.03483115107537,-60.02646245997769,-60.03532834459328
-0.02,27.999999999998945,-60.034834512702744,-60.02646557438866,-60.0353317211415
-0.02,28.09999999999894,-60.034837657932734,-60.02646847319101,-60.035334881243514
-0.02,28.199999999998933,-60.03484059035452,-60.02647115998218,-60.035337828488004
-0.02,28.299999999998928,-60.03484331351307,-60.02647363831519,-60.0353405664195
-0.02,28.399999999998922,-60.034845830909624,-60.02647591169907,-60.035343098538775
-0.02,28.499999999998916,-60.03484814600211,-60.02647798359939,-60.03534542830332
-0.02,28.59999999999891,-60.03485026220561,-60.0264798574386,-60.035347559127814
-0.02,28.699999999998905,-60.03485218289279,-60.02648153659656,-60.03534949438451
-0.02,28.7999999999989,-60.034853911394364,-60.02648302441096,-60.035351237403724
-0.02,28.899999999998894,-60.03485545099951,-60.02648432417773,-60.03535279147423
-0.02,28.999999999998888,-60.03485680495628,-60.026485439151514,-60.03535415984373
-0.02,29.099999999998882,-60.03485797647206,-60.026486372546074,-60.035355345719246
-0.02,29.199999999998877,-60.034858968714,-60.02648712753472,-60.03535635226756
-0.02,29.29999999999887,-60.03485978480939,-60.02648770725074,-60.03535718261565
-0.02,29.399999999998865,-60.03486042784611,-60.0264881147878,-60.035357839851045
-0.02,29.49999999999886,-60.03486090087304,-60.0264883532004,-60.035358327022315
-0.02,29.599999999998854,-60.03486120690046,-60.02648842550423,-60.035358647139425
-0.02,29.699999999998848,-60.034861348900435,-60.02648833467664,-60.03535880317417
-0.02,29.799999999998843,-60.03486132980727,-60.026488083656965,-60.03535879806054
-0.02,29.899999999998837,-60.034861152517855,-60.02648767534701,-60.035358634695164
-0.02,29.99999999999883,-60.03486081989209,-60.026487112611385,-60.03535831593768
-0.02,30.099999999998825,-60.034860334753255,-60.02648639827793,-60.0353578446111
-0.02,30.19999999999882,-60.034859699888415,-60.02648553513809,-60.03535722350226
-0.02,30.299999999998814,-60.0348589180488,-60.02648452594732,-60.035356455362134
-0.02,30.39999999999881,-60.03485799195017,-60.026483373425435,-60.035355542906274
-0.02,30.499999999998803,-60.03485692427321,-60.02648208025701,-60.03535448881514
-0.02,30.599999999998797,-60.034855717663895,-60.02648064909178,-60.0353532957345
-0.02,30.69999999999879,-60.034854374733875,-60.02647908254497,-60.035351966275805
-0.02,30.799999999998786,-60.034852898060805,-60.02647738319766,-60.035350503016524
-0.02,30.89999999999878,-60.03485129018875,-60.026475553597216,-60.03534890850053
-0.02,30.999999999998774,-60.03484955362851,-60.02647359625758,-60.03534718523847
-0.02,31.09999999999877,-60.03484769085802,-60.02647151365967,-60.0353453357081
-0.02,31.199999999998763,-60.03484570432267,-60.02646930825173,-60.035343362354645
-0.02,31.299999999998757,-60.03484359643564,-60.02646698244965,-60.035341267591164
-0.02,31.39999999999875,-60.0348413695783,-60.02646453863736,-60.035339053798864
-0.02,31.499999999998746,-60.03483902610051,-60.02646197916718,-60.03533672332748
-0.02,31.59999999999874,-60.03483656832097,-60.0264593063601,-60.035334278495604
-0.02,31.699999999998735,-60.03483399852758,-60.026456522506194,-60.035331721591
-0.02,31.79999999999873,-60.03483131897776,-60.02645362986492,-60.03532905487098
-0.02,31.899999999998723,-60.034828531898754,-60.026450630665444,-60.0353262805627
-0.02,31.999999999998717,-60.034825639488005,-60.026447527106995,-60.035323400863504
-0.02,32.09999999999874,-60.03482264391346,-60.02644432135919,-60.03532041794124
-0.02,32.19999999999876,-60.03481954731388,-60.02644101556235,-60.03531733393462
-0.02,32.29999999999878,-60.034816351799186,-60.026437611827795,-60.03531415095346
-0.02,32.399999999998805,-60.034813059450755,-60.026434112238235,-60.03531087107909
-0.02,32.49999999999883,-60.03480967232174,-60.02643051884802,-60.0353074963646
-0.02,32.59999999999885,-60.03480619243739,-60.02642683368346,-60.03530402883518
-0.02,32.69999999999887,-60.03480262179533,-60.02642305874317,-60.03530047048841
-0.02,32.799999999998896,-60.0347989623659,-60.02641919599836,-60.035296823294594
-0.02,32.89999999999892,-60.034795216092434,-60.0264152473931,-60.03529308919703
